label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
K,0.8113230466842651,0.6719350814819336,-3.860632489249838e-07,0.7749059200286865,0.5956867933273315,-0.008479944430291653,0.7671514749526978,0.5126604437828064,-0.011988292448222637,0.7671579122543335,0.4479956328868866,-0.018614387139678,0.765861988067627,0.39222365617752075,-0.025440093129873276,0.8103910684585571,0.45963746309280396,0.0006674652686342597,0.781204879283905,0.3932119607925415,-0.016613584011793137,0.7637568116188049,0.34740304946899414,-0.029390471056103706,0.7503888010978699,0.30608421564102173,-0.037624746561050415,0.8382391333580017,0.4643859565258026,-0.006373902782797813,0.7797095775604248,0.44079405069351196,-0.0362996980547905,0.7350438833236694,0.43880388140678406,-0.0503198578953743,0.7009139060974121,0.44006380438804626,-0.05383719876408577,0.860043466091156,0.48420366644859314,-0.015805020928382874,0.7872157692909241,0.48968812823295593,-0.0484662726521492,0.7708913683891296,0.5505449771881104,-0.048646871000528336,0.7677508592605591,0.6014585494995117,-0.039014726877212524,0.8745377063751221,0.5156156420707703,-0.026634102687239647,0.8106111288070679,0.512202262878418,-0.049520038068294525,0.7848700881004333,0.5537047386169434,-0.0470975860953331,0.7736644744873047,0.5931265354156494,-0.038498781621456146
K,0.8079705834388733,0.6541466116905212,-3.9634014115108585e-07,0.7704395055770874,0.5798889994621277,-0.008008677512407303,0.7639329433441162,0.49679768085479736,-0.010636142455041409,0.7650406956672668,0.4307050406932831,-0.016167106106877327,0.7648189067840576,0.3743695020675659,-0.02167399972677231,0.8059260845184326,0.445663183927536,0.0019841534085571766,0.7764174938201904,0.37692803144454956,-0.014018201269209385,0.7576430439949036,0.3305686116218567,-0.025626355782151222,0.7429969310760498,0.2895938754081726,-0.03311586007475853,0.8337289690971375,0.44867372512817383,-0.0048346384428441525,0.7747879028320312,0.4269787073135376,-0.03350255265831947,0.7305132746696472,0.42418429255485535,-0.04783013090491295,0.6964016556739807,0.42347753047943115,-0.05151699483394623,0.8551468849182129,0.4658547639846802,-0.013890919275581837,0.7798484563827515,0.4743954539299011,-0.045601557940244675,0.7626037001609802,0.5352120995521545,-0.046962786465883255,0.7592242360115051,0.5841314196586609,-0.038251034915447235,0.8683348894119263,0.4943588674068451,-0.024216530844569206,0.803169310092926,0.4947597086429596,-0.04661001265048981,0.7789356112480164,0.5382745265960693,-0.04451041668653488,0.7697774171829224,0.5779822468757629,-0.03601980581879616
K,0.7934228777885437,0.6233804225921631,-3.812417617155006e-07,0.7592092156410217,0.5489081144332886,-0.006358947139233351,0.7514725923538208,0.46654537320137024,-0.008291944861412048,0.749612033367157,0.40261220932006836,-0.013378397561609745,0.7472818493843079,0.3494642972946167,-0.018885452300310135,0.7924011945724487,0.41107285022735596,0.003076265100389719,0.7629872560501099,0.34603995084762573,-0.012314889580011368,0.7453264594078064,0.301183819770813,-0.023919332772493362,0.7324575781822205,0.26033055782318115,-0.03149455785751343,0.8186643719673157,0.41499796509742737,-0.004495793022215366,0.7582682967185974,0.3899156153202057,-0.031802527606487274,0.7143206000328064,0.3876636028289795,-0.045054394751787186,0.6807504296302795,0.3897000551223755,-0.04831888899207115,0.8389957547187805,0.43387582898139954,-0.014026093296706676,0.7655189037322998,0.43801718950271606,-0.044613976031541824,0.7530605792999268,0.49843937158584595,-0.04467780515551567,0.7519795894622803,0.5494431853294373,-0.03537747263908386,0.8533598780632019,0.46418318152427673,-0.024735312908887863,0.7889353036880493,0.460853636264801,-0.04638638347387314,0.7650367617607117,0.5020589232444763,-0.04352990537881851,0.7537474632263184,0.5408948659896851,-0.034806836396455765
K,0.788325846195221,0.6073653697967529,-4.025914108751749e-07,0.7509177327156067,0.5331880450248718,-0.005837500561028719,0.744805097579956,0.45071420073509216,-0.007391114719212055,0.7436420321464539,0.3856498897075653,-0.01186628919094801,0.742644727230072,0.3309171795845032,-0.01678108237683773,0.7868750095367432,0.3999783396720886,0.002111404202878475,0.7574841380119324,0.3311856985092163,-0.011853025294840336,0.7376424074172974,0.285145103931427,-0.02181992493569851,0.7217592597007751,0.244790181517601,-0.028242727741599083,0.813137412071228,0.40392085909843445,-0.005122046452015638,0.7534977793693542,0.37711745500564575,-0.031349554657936096,0.7084615230560303,0.37412533164024353,-0.04509596526622772,0.6734985113143921,0.3749454915523529,-0.04898812621831894,0.8335623145103455,0.42051827907562256,-0.01401777658611536,0.7577513456344604,0.4242004156112671,-0.04490424320101738,0.7415122985839844,0.484220027923584,-0.04789513349533081,0.7389575839042664,0.5348017811775208,-0.04080604761838913,0.845252513885498,0.447556734085083,-0.02358519285917282,0.7797038555145264,0.44385644793510437,-0.045941032469272614,0.7554416060447693,0.48772865533828735,-0.044401638209819794,0.7453528642654419,0.5303075313568115,-0.036761075258255005
K,0.7826792001724243,0.5967026948928833,-4.141033684845752e-07,0.7435169816017151,0.5255749225616455,-0.004219189286231995,0.7366530299186707,0.441790908575058,-0.004493015352636576,0.7363215684890747,0.37686222791671753,-0.007832235656678677,0.7382270097732544,0.32275494933128357,-0.01168102491647005,0.7767711281776428,0.38743892312049866,0.003976303618401289,0.7478110194206238,0.31855565309524536,-0.008414587937295437,0.7276951670646667,0.2721094787120819,-0.017301348969340324,0.7116174697875977,0.23215626180171967,-0.02325175143778324,0.8030151724815369,0.3904319405555725,-0.0037175952456891537,0.7437861561775208,0.36411917209625244,-0.028251638635993004,0.6993208527565002,0.36266565322875977,-0.04147345945239067,0.664669930934906,0.3654226064682007,-0.04523021727800369,0.8238788843154907,0.4061141908168793,-0.012872385792434216,0.7481367588043213,0.4100522994995117,-0.042379170656204224,0.7313552498817444,0.46719279885292053,-0.046068932861089706,0.7276303172111511,0.5166299343109131,-0.04012013226747513,0.8361558318138123,0.4316917061805725,-0.02254459261894226,0.7692302465438843,0.43005862832069397,-0.044249847531318665,0.7449371218681335,0.4747518002986908,-0.043104205280542374,0.7345615029335022,0.5185659527778625,-0.036089248955249786
K,0.7830439805984497,0.6001080870628357,-4.178391179721075e-07,0.7458280920982361,0.5288054943084717,-0.006998024415224791,0.7379778027534485,0.4511565566062927,-0.010386306792497635,0.7364821434020996,0.38660550117492676,-0.017185505479574203,0.734619140625,0.33047086000442505,-0.024097204208374023,0.7802674174308777,0.3906734585762024,0.0011853482574224472,0.7484898567199707,0.32231026887893677,-0.01615382917225361,0.72845059633255,0.27552270889282227,-0.028432145714759827,0.7145100235939026,0.23345522582530975,-0.03622576221823692,0.8043973445892334,0.3928205668926239,-0.0067546796053647995,0.7437876462936401,0.3654402494430542,-0.036319147795438766,0.6980043053627014,0.36226359009742737,-0.051169466227293015,0.6627795100212097,0.36276721954345703,-0.05497201532125473,0.8238061666488647,0.4082992374897003,-0.016652146354317665,0.7477414608001709,0.41672202944755554,-0.048109766095876694,0.7335754632949829,0.47607487440109253,-0.05001519247889519,0.7324888706207275,0.5254929661750793,-0.04169212654232979,0.8357827663421631,0.43555763363838196,-0.027825672179460526,0.7677265405654907,0.43520587682724,-0.04975859448313713,0.7460334897041321,0.47718438506126404,-0.04807129502296448,0.7390028834342957,0.5177043676376343,-0.039827484637498856
K,0.7739934325218201,0.5862855911254883,-3.9707452970105805e-07,0.7350437045097351,0.512393057346344,-0.004508365411311388,0.7287700176239014,0.4288254976272583,-0.004857143387198448,0.727462887763977,0.36300358176231384,-0.008798723109066486,0.7260574698448181,0.30604785680770874,-0.013282310217618942,0.766726016998291,0.3748418688774109,0.006772866938263178,0.7385380268096924,0.30776655673980713,-0.00701715936884284,0.7184510231018066,0.2617368698120117,-0.017134448513388634,0.701696515083313,0.22202114760875702,-0.02346610277891159,0.792815625667572,0.37759411334991455,-0.001219956437125802,0.7334649562835693,0.35195088386535645,-0.027860740199685097,0.6879589557647705,0.3493076264858246,-0.04201079532504082,0.6525591611862183,0.3515549898147583,-0.04570099711418152,0.8138701319694519,0.3932817876338959,-0.01116060558706522,0.7388113737106323,0.3990752100944519,-0.04253276064991951,0.7238538265228271,0.46109747886657715,-0.04595702514052391,0.7224997282028198,0.5137237310409546,-0.0386732816696167,0.8271329998970032,0.4192335605621338,-0.021754618734121323,0.7607754468917847,0.4175367057323456,-0.04403621703386307,0.7370690703392029,0.46218812465667725,-0.0426008366048336,0.7278323173522949,0.5048142671585083,-0.03482638671994209
K,0.767493486404419,0.5793256759643555,-4.149498522565409e-07,0.7282330989837646,0.5064317584037781,-0.002878379775211215,0.7224031686782837,0.4238745868206024,-0.0031490593682974577,0.7217158079147339,0.3591459095478058,-0.007323541212826967,0.7237346172332764,0.3039672374725342,-0.012161018326878548,0.7610816955566406,0.3674633204936981,0.007306790444999933,0.7297955751419067,0.2998847961425781,-0.0060655041597783566,0.7089473009109497,0.2541440427303314,-0.015928585082292557,0.6926396489143372,0.21396005153656006,-0.022395620122551918,0.7870333790779114,0.36969906091690063,-0.0018576413858681917,0.7254695296287537,0.34309476613998413,-0.028011787682771683,0.6792386174201965,0.3413655459880829,-0.0421585775911808,0.6438409686088562,0.3435152769088745,-0.046086300164461136,0.8074881434440613,0.38492515683174133,-0.012696201913058758,0.7295541167259216,0.3905170261859894,-0.04345061630010605,0.7148258090019226,0.4529784917831421,-0.04628775641322136,0.7143642902374268,0.5041137933731079,-0.03897775337100029,0.8194118142127991,0.41031965613365173,-0.024064283818006516,0.7515074014663696,0.4077427089214325,-0.04592921957373619,0.7288081645965576,0.4534185230731964,-0.04374459385871887,0.7210982441902161,0.496262788772583,-0.035599809139966965
K,0.5438896417617798,0.5092284083366394,-3.6904845046592527e-07,0.5059215426445007,0.43471455574035645,0.0010909376433119178,0.49643421173095703,0.3662967383861542,-0.002277652034536004,0.4900578260421753,0.31116095185279846,-0.01091714482754469,0.48977023363113403,0.2717124819755554,-0.021044861525297165,0.5396768450737,0.30067646503448486,0.006085739471018314,0.505457878112793,0.23563775420188904,-0.010227629914879799,0.4858059585094452,0.19063127040863037,-0.022512614727020264,0.47203317284584045,0.14801470935344696,-0.03051362931728363,0.5600394010543823,0.30227968096733093,-0.006267414893954992,0.4943145513534546,0.27150195837020874,-0.0341278500854969,0.4469168782234192,0.27018752694129944,-0.04806368798017502,0.41079556941986084,0.27070140838623047,-0.0515054427087307,0.5740744471549988,0.3169510066509247,-0.019715886563062668,0.494763046503067,0.32411298155784607,-0.05025332421064377,0.48573243618011475,0.38885733485221863,-0.05284316465258598,0.4892043471336365,0.44278669357299805,-0.04530922323465347,0.5805273056030273,0.34096983075141907,-0.03350610285997391,0.5110372304916382,0.34210535883903503,-0.05448659136891365,0.4903891682624817,0.3869270384311676,-0.051756300032138824,0.4819340705871582,0.43061956763267517,-0.04330180585384369
K,0.33324527740478516,0.6050231456756592,-3.5903605066778255e-07,0.28784576058387756,0.5380405187606812,0.001648810924962163,0.2792438864707947,0.4690573513507843,-0.0020529741887003183,0.2714044153690338,0.4103531539440155,-0.010560872033238411,0.262866735458374,0.36012932658195496,-0.0204661563038826,0.3170910179615021,0.39825117588043213,0.0023611015640199184,0.2831340432167053,0.33546510338783264,-0.013597449287772179,0.2622494697570801,0.2958710789680481,-0.02417541854083538,0.24533811211585999,0.25900179147720337,-0.030484791845083237,0.334636390209198,0.4014008343219757,-0.008684545755386353,0.2607709467411041,0.37638890743255615,-0.032954245805740356,0.21268537640571594,0.3808947801589966,-0.04470965638756752,0.17761367559432983,0.38572385907173157,-0.04857068136334419,0.3433194160461426,0.4183156192302704,-0.020533546805381775,0.2599141597747803,0.430345743894577,-0.048886001110076904,0.25532272458076477,0.4929310977458954,-0.05021714046597481,0.263977974653244,0.5410976409912109,-0.043170224875211716,0.34260985255241394,0.44368988275527954,-0.03236951678991318,0.2729905843734741,0.448734313249588,-0.05233859643340111,0.259327232837677,0.49269339442253113,-0.050102055072784424,0.2578969895839691,0.5317142009735107,-0.04272972792387009
